1. What is your age group?,2. What is your gender?,3. How often do you shop for luxury products?,4. How satisfied are you with the product quality of luxury products?,5. How do you rate your shopping experience of any luxury products?,6. How would you rate the delivery service of any luxury shop?,7. How satisfied are you with the customer service support?,8. Have you ever faced any issues with any luxury shop's services?,9. Would you recommend luxury products to others?,10. What is the main reason you choose luxury products?,11. Do you plan to shop at a luxury shop again in the future?
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,2,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Female,Regularly,Very satisfied,5,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
26–35,Male,This is my first time,Satisfied,5,Average,Satisfied,Never,Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Regularly,Very satisfied,5,Slow,Neutral,Rarely,Probably,Affordable price,Maybe
Under 18,Male,Very frequently,Neutral,4,Average,Neutral,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Regularly,Satisfied,1,Very fast,Satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Satisfied,2,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
36–45,Male,This is my first time,Satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Customer service,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,3,Fast,Very satisfied,"Yes, frequently",Definitely,Stylish design,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Very fast,Satisfied,"Yes, sometimes",Probably,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,2,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,Maybe
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,Maybe
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Stylish design,Maybe
18–25,Male,Regularly,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Probably,Stylish design,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,2,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Regularly,Satisfied,2,Fast,Very satisfied,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Female,Regularly,Satisfied,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
26–35,Male,Regularly,Satisfied,3,Very fast,Satisfied,Rarely,Probably,Stylish design,Maybe
26–35,Female,Occasionally,Satisfied,2,Very fast,Satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
18–25,Male,Regularly,Satisfied,3,Fast,Neutral,Rarely,Probably,Affordable price,"Yes, definitely"
18–25,Male,Occasionally,Neutral,2,Fast,Neutral,Rarely,Probably,Stylish design,Maybe
26–35,Female,Regularly,Satisfied,2,Average,Satisfied,"Yes, frequently",Definitely,Stylish design,"Yes, definitely"
26–35,Female,Regularly,Satisfied,2,Fast,Satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,This is my first time,Very satisfied,2,Fast,Satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
Under 18,Female,Regularly,Satisfied,3,Fast,Satisfied,"Yes, sometimes",Probably,Affordable price,"Yes, definitely"
18–25,Female,Occasionally,Very satisfied,2,Fast,Satisfied,"Yes, frequently",Probably,Affordable price,"Yes, definitely"
18–25,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
Under 18,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Male,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Product quality,"Yes, definitely"
18–25,Female,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Satisfied,3,Fast,Neutral,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Very satisfied,2,Fast,Satisfied,Rarely,Probably not,Fast delivery,Probably not
18–25,Female,Occasionally,Neutral,2,Fast,Neutral,"Yes, sometimes",Probably not,Fast delivery,Maybe
