"RESPNUM","CCGID","TERM","STRATA","ATYPE","AIRLINE","DEST","GATENUM","INTDATE","Q1","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3A","Q4A","Q4B","Q4C","Q5","Q5AVG","SAQ","Q6A","Q6B","Q6C","Q6D","Q6E","Q6F","Q6G","Q6H","Q6I","Q6J","Q6K","Q6L","Q6M","Q6N","Q7COM1","Q7COM2","Q7COM3","Q7A1","Q7A2","Q7A3","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q8COM1","Q8COM2","Q8COM3","Q9","Q9APOS1","Q9APOS2","Q9APOS3","Q9ANEG1","Q9ANEG2","Q9ANEG3","Q9ANTR1","Q9ANTR2","Q9ANTR3","Q10","Q11","Q11A1","Q11A2","Q11A3","Q12","Q13A","Q13B","Q13_COM","Q13COM1","Q13COM2","Q13COM3","Q14","Q14A","Q14A1","Q14A2","Q14A3","Q15","SFFLAG","COUNTRY","Q17","AGE","Q18","Q19","INC","MAIL","LANG","DESTMARK","DESTINATION","DESTGEO","WEIGHT","Location 1"
"1","150","1","2","1","25","1","21","2","2","3","8",,,,,"6","11",,,,,"9","1","2","2","3","4.5","1","5","3","3","4","4","4","6","6","3","6","6","6","6","4","20","28","57",,,,"3","6","6","6","4","4",,,,"5",,,,,,,,,,"1","3","1","5",,"5","5","3",,,,,"2",,,,,"2","4","30","4","39.5","1","1","25,000","1","1","4","LOS ANGELES","1","1.013018",
"2","151","1","2","1","25","1","21","2","2","4","8",,,,,"2","11",,,,,"9","1","1","2","3","4.5","1","6","3","3","4","4","6","6","6","4","6","4","6","6","4","1","78","90",,,,"3","6","2","6","2","4",,,,"4",,,,,,,,,,"2",,,,,"2","5","1",,,,,"2",,,,,"2","3","62","2","21","2","1","25,000","1","1","4","LOS ANGELES","1","1.013018",
"3","152","1","2","1","25","1","21","2","2","1","8",,,,,"6","11",,,,,"9","1","1","2","3","4.5","1","6","6","3","4","3","5","6","6","6","6","6","6","6","4","50",,,,,,"3","6","6","6","3","3",,,,"4",,,,,,,,,,"2",,,,,"5","3","2",,,,,"2",,,,,"2","3","62","7","75","2","2","75,000","1","1","4","LOS ANGELES","1","1.013018",
"4","153","1","2","1","25","1","21","2","2","5","8",,,,,"2","11",,,,,"9","1","2","2","2","2","1","3","6","6","3","4","3","6","6","2","6","6","6","6","3","90",,,"51",,,"3","6","6","6","3","4",,,,"3",,,,,,,"20",,,"2",,,,,"5","4","2",,,,,"2",,,,,"2","3","62","5","49.5","2","3","125,000","1","1","4","LOS ANGELES","1","1.013018",
"5","154","1","2","1","25","1","21","2","1","2","8",,,,,"3","11",,,,,"9","1","2","2","5","18.5","1","5","5","5","5","4","5","5","5","5","5","5","5","5","5","90",,,,,,"5","5","5","5","5","5",,,,"4",,,,,,,,,,"1","5","3",,,"11","5","4",,,,,"2",,,,,"3","4","62","6","59.5","2","1","25,000","1","1","4","LOS ANGELES","1","1.013018",
"6","155","1","2","1","25","1","21","2","2","3","8",,,,,"6","11",,,,,"9","2","2","2","3","4.5","1","6","6","6","4","5","5","6","6","6","6","5","6","6","4",,,,,,,"5","6","5","6","6","5",,,,"4",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","62","6","59.5","2","2","75,000","1","1","4","LOS ANGELES","1","1.013018",
"7","156","1","2","1","25","1","21","2","2","4","8",,,,,"1","11",,,,,"1","1","2","2","3","4.5","2","3","2","2","3","3","4","3","3","4","3","4","3","6","4","25","71",,,,,"3","3","6","6","2","2",,,,"4","6",,,,,,,,,"2",,,,,"6","3","3",,,,,"2",,,,,"1","12","62","2","21","1","1","25,000","1","1","4","LOS ANGELES","1","1.013018",
"8","157","1","2","1","25","1","21","2","2","2","8",,,,,"2","11",,,,,"9","2","2","2","4","9.5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5",,,,,,,"5","5","5","5","5","5",,,,"5",,,,,,,,,,"2",,,,,"6","5","5",,,,,"2",,,,,"1","12","62","6","59.5","2","1","25,000","1","1","4","LOS ANGELES","1","1.013018",
"9","158","1","2","1","25","1","21","2","2","3","8",,,,,"6","11",,,,,"9","1","2","1","2","2","2","5","5","5","5","5","4","5","5","5","5","5","6","6","5",,,,,,,"5","6","5","6","5","5",,,,"5","5",,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","62","5","49.5","2","3","125,000","1","1","4","LOS ANGELES","1","1.013018",
"10","159","1","2","1","25","1","21","2","2","2","10",,,,,"2","11",,,,,"9","2","2","2","3","4.5","2","5","4","4","4","4","4","6","6","4","5","6","6","6","4","73",,,,,,"4","4","6","6","4","3",,,,"4","5",,,,,,,,,"2",,,,,"6","5","5",,"11",,,"2",,,,,"2","3","62","3","29.5","2","3","125,000","1","1","4","LOS ANGELES","1","1.013018",
